N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
21,삼성생명,"72,100",400,+0.56%,500,"144,200","200,000",17.03,"119,802",6.76,5.73,
22,포스코인터내셔널,"76,700","2,700",-3.40%,"5,000","134,933","175,923",5.52,"1,464,114",18.93,15.79,
23,LG,"83,900",400,+0.48%,"5,000","131,976","157,301",36.35,"139,566",12.79,8.48,
24,하나금융지주,"44,400",150,+0.34%,"5,000","129,806","292,357",68.29,"1,284,750",3.42,10.06,
25,삼성화재,"268,500","5,000",+1.90%,500,"127,201","47,375",53.27,"87,707",8.00,9.70,
26,KT&G,"87,300","1,100",-1.24%,"5,000","119,856","137,292",41.42,"284,266",13.57,11.00,
27,메리츠금융지주,"57,400","3,400",+6.30%,500,"119,517","208,218",16.56,"979,124",5.49,30.32,
28,한국전력,"17,970",50,-0.28%,"5,000","115,361","641,964",14.48,"632,672",-0.56,-46.91,
29,카카오뱅크,"23,750",250,-1.04%,"5,000","113,232","476,767",15.21,"583,863",35.03,4.68,
30,SK텔레콤,"51,100",400,+0.79%,100,"111,824","218,833",41.29,"1,291,431",10.48,7.97,
31,HD현대중공업,"124,500","1,100",-0.88%,"5,000","110,523","88,773",7.50,"109,310",-102.38,-6.47,
32,SK,"149,300",600,-0.40%,200,"109,285","73,198",22.58,"92,734",-11.82,5.13,
33,두산에너빌리티,"16,670",170,-1.01%,"5,000","106,782","640,561",13.01,"3,511,436",-29.30,-11.70,
34,삼성에스디에스,"136,900","2,800",+2.09%,500,"105,930","77,378",15.60,"106,292",10.49,14.23,
35,고려아연,"523,000","1,000",+0.19%,"5,000","103,884","19,863",20.19,"26,750",17.42,9.38,
36,삼성전기,"138,100",600,-0.43%,"5,000","103,152","74,694",30.70,"217,352",17.63,13.76,
37,하이브,"230,500",0,0.00%,500,"96,008","41,652",16.34,"171,621",149.87,1.87,
38,우리금융지주,"12,530",20,+0.16%,"5,000","95,295","760,535",36.31,"2,017,616",3.13,11.51,
39,기업은행,"11,450",30,-0.26%,"5,000","91,305","797,426",14.21,"641,778",3.11,9.85,
40,S-Oil,"77,400",200,+0.26%,"2,500","87,139","112,583",76.65,"218,393",19.53,27.20,
41,KT,"32,650",150,-0.46%,"5,000","84,192","257,861",41.94,"501,966",6.93,7.99,
42,HD한국조선해양,"115,800","2,200",-1.86%,"5,000","81,955","70,773",24.84,"140,517",198.29,-2.22,
43,대한항공,"22,150",300,-1.34%,"5,000","81,561","368,221",16.25,"463,816",6.12,21.95,
44,HMM,"16,580",680,-3.94%,"5,000","81,083","489,039",12.01,"1,235,444",1.75,64.98,
45,금양,"127,500","2,000",-1.54%,500,"74,014","58,050",3.85,"519,560",-172.53,-24.34,
46,크래프톤,"148,600",0,0.00%,100,"71,867","48,363",31.79,"70,888",15.95,10.29,
47,아모레퍼시픽,"121,800",800,-0.65%,500,"71,244","58,493",24.88,"96,608",53.49,2.81,
48,삼성중공업,"8,050",150,-1.83%,"1,000","70,840","880,000",20.18,"5,282,369",-16.00,-16.08,
49,LG생활건강,"441,500","6,500",-1.45%,"5,000","68,954","15,618",32.04,"58,472",41.54,4.41,
50,현대글로비스,"181,200",800,-0.44%,500,"67,950","37,500",48.54,"52,926",5.84,18.78,
51,SK바이오팜,"86,300",700,-0.80%,500,"67,584","78,313",7.23,"88,482",-79.98,-36.66,
52,TIGER CD금리투자KIS(합성),"53,045",5,+0.01%,0,"66,995","126,298",0.06,"235,583",N/A,N/A,
53,DB손해보험,"93,400","1,600",+1.74%,500,"66,127","70,800",46.00,"167,101",4.71,16.45,
54,한화오션,"30,150","1,300",-4.13%,"5,000","65,387","216,873",3.20,"1,082,616",-2.50,-117.79,
55,SK스퀘어,"42,850",750,+1.78%,100,"60,619","141,468",44.59,"369,772",-3.22,1.55,
56,삼성엔지니어링,"30,550","1,400",-4.38%,"5,000","59,878","196,000",51.03,"760,924",6.67,28.32,
57,KODEX 200,"33,200",120,-0.36%,0,"59,727","179,900",1.86,"3,346,793",N/A,N/A,
58,롯데케미칼,"137,800","2,100",-1.50%,"5,000","58,945","42,775",25.84,"71,016",-103.07,0.43,
59,LG이노텍,"243,000",0,0.00%,"5,000","57,511","23,667",19.80,"120,806",9.73,25.85,
60,유한양행,"73,500",300,+0.41%,"1,000","56,329","76,639",18.87,"274,548",75.23,4.86,
61,카카오페이,"41,950",50,-0.12%,500,"56,256","134,101",39.46,"210,353",111.87,3.08,
62,두산밥캣,"55,000",700,+1.29%,500,"55,137","100,249",38.34,"207,864",6.00,13.78,
63,SK아이이테크놀로지,"75,900","1,200",-1.56%,"1,000","54,115","71,298",8.81,"169,780",226.57,-1.35,
64,한화에어로스페이스,"105,800","3,400",-3.11%,"5,000","53,567","50,630",33.20,"519,288",6.64,6.98,
65,맥쿼리인프라,"12,230",20,-0.16%,0,"53,296","435,781",12.99,"367,356",N/A,N/A,
66,HD현대,"67,200","1,600",+2.44%,"1,000","53,083","78,993",18.79,"341,171",12.06,20.43,
67,현대제철,"39,650",250,+0.63%,"5,000","52,911","133,446",26.99,"337,403",10.18,5.56,
68,SK바이오사이언스,"68,300",200,-0.29%,500,"52,444","76,784",4.78,"132,038",281.07,N/A,
69,한화솔루션,"30,100",500,-1.63%,"5,000","51,740","171,893",23.16,"1,237,991",39.40,4.21,
70,엔씨소프트,"230,500","6,000",-2.54%,500,"50,604","21,954",41.90,"85,466",17.34,13.73,
71,한국타이어앤테크놀로지,"40,250",900,+2.29%,500,"49,860","123,875",39.11,"234,116",9.90,8.14,
72,현대오토에버,"181,800","5,800",+3.30%,500,"49,857","27,424",5.47,"199,605",34.62,8.00,
73,한온시스템,"9,250",60,-0.64%,100,"49,376","533,800",16.96,"728,705",35.85,0.89,
74,오리온,"124,400",700,+0.57%,500,"49,183","39,536",42.28,"51,909",12.14,16.47,
75,LG디스플레이,"13,660",410,+3.09%,"5,000","48,878","357,816",17.18,"2,028,105",-1.03,-26.71,
76,한미반도체,"49,800","1,350",+2.79%,100,"48,475","97,339",10.37,"1,588,977",24.05,25.04,
77,한국항공우주,"49,200",300,-0.61%,"5,000","47,958","97,475",25.07,"405,030",67.03,8.78,
78,코스모신소재,"153,400","2,500",-1.60%,"1,000","47,018","30,651",13.94,"97,710",226.25,12.13,
79,LG유플러스,"10,420",20,-0.19%,"5,000","45,495","436,611",39.13,"371,940",6.53,8.37,
80,CJ제일제당,"298,500","6,500",-2.13%,"5,000","44,937","15,054",22.61,"15,068",16.70,9.26,
81,F&F,"112,000",0,0.00%,100,"42,904","38,307",13.01,"83,422",8.94,60.40,
82,현대건설,"36,450",450,-1.22%,"5,000","40,589","111,356",22.70,"485,172",11.26,5.49,
83,미래에셋증권,"6,660",100,-1.48%,"5,000","40,314","605,316",13.47,"430,707",9.06,6.17,
84,현대차2우B,"107,400",100,-0.09%,"5,000","38,794","36,121",62.38,"43,948",3.11,N/A,
85,금호석유,"128,500","3,600",-2.73%,"5,000","37,669","29,314",19.27,"49,438",6.80,19.11,
86,KODEX KOFR금리액티브(합성),"104,320",25,+0.02%,0,"37,119","35,582",0.12,"48,651",N/A,N/A,
87,GS,"39,900",50,+0.13%,"5,000","37,073","92,915",23.22,"113,887",3.13,18.86,
88,넷마블,"42,550","1,050",-2.41%,100,"36,573","85,954",22.61,"183,951",-5.06,-14.56,
89,한미약품,"289,000","2,500",-0.86%,"2,500","36,305","12,562",15.88,"22,427",35.60,9.89,
90,삼성카드,"30,800",100,+0.33%,"5,000","35,685","115,859",5.86,"44,891",5.98,8.08,
91,NH투자증권,"10,500",20,+0.19%,"5,000","34,825","331,666",15.75,"227,491",8.22,4.32,
92,현대미포조선,"86,600","1,600",-1.81%,"5,000","34,590","39,942",22.25,"207,235",-40.70,-2.07,
93,삼성증권,"37,650",350,-0.92%,"5,000","33,621","89,300",33.95,"110,061",6.25,6.88,
94,호텔신라,"84,700","1,300",-1.51%,"5,000","33,243","39,248",19.00,"339,519",57.86,-8.99,
95,LS,"103,100",700,+0.68%,"5,000","33,198","32,200",11.85,"217,635",7.71,12.00,
96,강원랜드,"15,320",210,-1.35%,500,"32,776","213,940",14.22,"452,358",11.83,3.47,
